,user_id,date_served,marketing_channel,variant,converted,language_displayed,language_preferred,age_group,date_subscribed,date_canceled,subscribing_channel,is_retained
24,a100000051,2018-01-01,Push,personalization,False,English,English,30-36 years,2018-01-02,,House Ads,True
25,a100000052,2018-01-02,House Ads,personalization,True,English,English,36-45 years,2018-01-02,,House Ads,True
26,a100000052,2018-01-01,House Ads,personalization,False,English,English,36-45 years,2018-01-02,,House Ads,True
27,a100000053,2018-01-02,House Ads,personalization,True,English,English,45-55 years,2018-01-02,,House Ads,True
28,a100000053,2018-01-01,House Ads,personalization,False,English,English,45-55 years,2018-01-02,,House Ads,True
29,a100000054,2018-01-02,House Ads,personalization,True,English,English,55+ years,2018-01-02,,House Ads,True
30,a100000054,2018-01-01,House Ads,personalization,False,English,English,55+ years,2018-01-02,,House Ads,True
31,a100000055,2018-01-02,House Ads,personalization,True,English,English,0-18 years,2018-01-02,,House Ads,True
32,a100000055,2018-01-01,Push,personalization,False,English,English,0-18 years,2018-01-02,,House Ads,True
33,a100000056,2018-01-02,House Ads,personalization,True,English,English,19-24 years,2018-01-02,,House Ads,True
34,a100000056,2018-01-01,Facebook,personalization,False,English,English,19-24 years,2018-01-02,,House Ads,True
35,a100000057,2018-01-02,House Ads,personalization,True,English,English,24-30 years,2018-01-02,,House Ads,True
36,a100000057,2018-01-01,Instagram,personalization,False,English,English,24-30 years,2018-01-02,,House Ads,True
37,a100000058,2018-01-02,House Ads,personalization,True,English,English,0-18 years,2018-01-02,,House Ads,True
38,a100000058,2018-01-01,Instagram,personalization,False,English,English,0-18 years,2018-01-02,,House Ads,True
39,a100000059,2018-01-02,House Ads,personalization,True,English,English,19-24 years,2018-01-02,2018-02-19,House Ads,False
40,a100000059,2018-01-01,Facebook,personalization,False,English,English,19-24 years,2018-01-02,2018-02-19,House Ads,False
41,a100000060,2018-01-02,House Ads,personalization,True,German,German,24-30 years,2018-01-02,2018-03-08,House Ads,False
42,a100000060,2018-01-01,House Ads,personalization,False,German,German,24-30 years,2018-01-02,2018-03-08,House Ads,False
43,a100000061,2018-01-02,House Ads,personalization,True,English,English,0-18 years,2018-01-02,2018-02-05,House Ads,False
44,a100000061,2018-01-01,House Ads,personalization,False,English,English,0-18 years,2018-01-02,2018-02-05,House Ads,False
45,a100000062,2018-01-03,House Ads,personalization,True,English,English,19-24 years,2018-01-03,2018-01-11,House Ads,False
46,a100000062,2018-01-01,House Ads,personalization,False,English,English,19-24 years,2018-01-03,2018-01-11,House Ads,False
47,a100000063,2018-01-03,House Ads,personalization,True,English,English,24-30 years,2018-01-03,2018-01-06,House Ads,False
48,a100000063,2018-01-01,House Ads,personalization,False,English,English,24-30 years,2018-01-03,2018-01-06,House Ads,False
49,a100000064,2018-01-03,House Ads,personalization,True,English,English,0-18 years,2018-01-03,2018-03-01,House Ads,False
50,a100000064,2018-01-01,Push,personalization,False,English,English,0-18 years,2018-01-03,2018-03-01,House Ads,False
51,a100000065,2018-01-03,House Ads,personalization,True,English,English,19-24 years,2018-01-03,2018-04-02,House Ads,False
52,a100000065,2018-01-01,House Ads,personalization,False,English,English,19-24 years,2018-01-03,2018-04-02,House Ads,False
53,a100000066,2018-01-03,House Ads,personalization,True,English,English,24-30 years,2018-01-03,2018-03-02,House Ads,False
54,a100000066,2018-01-01,House Ads,personalization,False,English,English,24-30 years,2018-01-03,2018-03-02,House Ads,False
55,a100000067,2018-01-03,House Ads,control,True,English,English,0-18 years,2018-01-03,2018-01-05,House Ads,False
56,a100000068,2018-01-03,House Ads,control,True,English,English,19-24 years,2018-01-03,,House Ads,True
57,a100000069,2018-01-03,House Ads,control,True,English,English,24-30 years,2018-01-03,,House Ads,True
58,a100000070,2018-01-03,House Ads,control,True,Spanish,Spanish,30-36 years,2018-01-03,,House Ads,True
59,a100000071,2018-01-03,House Ads,control,True,English,English,36-45 years,2018-01-03,,House Ads,True
60,a100000072,2018-01-03,House Ads,control,True,German,German,45-55 years,2018-01-03,,House Ads,True
61,a100000073,2018-01-03,House Ads,control,True,English,English,55+ years,2018-01-03,,House Ads,True
62,a100000075,2018-01-03,House Ads,control,True,English,English,0-18 years,2018-01-03,,House Ads,True
63,a100000076,2018-01-03,House Ads,control,True,English,English,19-24 years,2018-01-03,,House Ads,True
64,a100000077,2018-01-03,House Ads,control,True,English,English,24-30 years,2018-01-03,,House Ads,True
65,a100000078,2018-01-03,House Ads,control,True,English,English,30-36 years,2018-01-03,,House Ads,True
66,a100000079,2018-01-03,House Ads,control,True,English,English,36-45 years,2018-01-03,,House Ads,True
67,a100000080,2018-01-04,House Ads,control,True,English,English,45-55 years,2018-01-04,,House Ads,True
68,a100000081,2018-01-04,House Ads,control,True,English,English,55+ years,2018-01-04,,House Ads,True
69,a100000082,2018-01-04,House Ads,control,True,English,English,0-18 years,2018-01-04,,House Ads,True
70,a100000083,2018-01-04,House Ads,control,True,English,English,19-24 years,2018-01-04,,House Ads,True
71,a100000085,2018-01-04,House Ads,control,True,Spanish,Spanish,24-30 years,2018-01-04,,House Ads,True
72,a100000086,2018-01-04,House Ads,control,True,English,English,30-36 years,2018-01-04,,House Ads,True
73,a100000087,2018-01-04,House Ads,control,True,English,English,36-45 years,2018-01-04,,House Ads,True
74,a100000088,2018-01-04,House Ads,control,True,Spanish,Spanish,45-55 years,2018-01-04,2018-01-11,House Ads,False
75,a100000089,2018-01-04,House Ads,control,True,English,English,55+ years,2018-01-04,2018-02-09,House Ads,False
76,a100000090,2018-01-04,House Ads,control,True,English,English,0-18 years,2018-01-04,2018-03-25,House Ads,False
77,a100000091,2018-01-04,House Ads,control,True,English,English,19-24 years,2018-01-04,2018-01-06,House Ads,False
78,a100000092,2018-01-04,House Ads,control,True,English,English,24-30 years,2018-01-04,2018-03-12,House Ads,False
79,a100000093,2018-01-04,House Ads,control,True,English,English,30-36 years,2018-01-04,2018-03-10,House Ads,False
80,a100000094,2018-01-04,House Ads,control,True,English,English,36-45 years,2018-01-04,2018-02-14,House Ads,False
81,a100000095,2018-01-04,House Ads,control,True,Spanish,Spanish,45-55 years,2018-01-04,2018-01-23,House Ads,False
82,a100000096,2018-01-05,House Ads,control,True,English,English,55+ years,2018-01-05,2018-02-11,House Ads,False
83,a100000097,2018-01-05,House Ads,control,True,English,English,0-18 years,2018-01-05,,House Ads,True
84,a100000098,2018-01-05,House Ads,control,True,English,English,19-24 years,2018-01-05,,House Ads,True
85,a100000099,2018-01-05,House Ads,control,True,English,English,24-30 years,2018-01-05,,House Ads,True
86,a100000099,2018-01-04,House Ads,control,False,English,English,24-30 years,2018-01-05,,House Ads,True
87,a100000100,2018-01-05,House Ads,control,True,English,English,30-36 years,2018-01-05,,House Ads,True
88,a100000100,2018-01-04,House Ads,control,False,English,English,30-36 years,2018-01-05,,House Ads,True
89,a100000101,2018-01-05,House Ads,control,True,English,English,36-45 years,2018-01-05,2018-04-13,House Ads,False
90,a100000101,2018-01-04,House Ads,control,False,English,English,36-45 years,2018-01-05,2018-04-13,House Ads,False
91,a100000102,2018-01-05,House Ads,control,True,English,English,45-55 years,2018-01-05,2018-04-12,House Ads,False
92,a100000102,2018-01-04,House Ads,control,False,English,English,45-55 years,2018-01-05,2018-04-12,House Ads,False
93,a100000103,2018-01-05,House Ads,control,True,Spanish,Spanish,55+ years,2018-01-05,2018-04-03,House Ads,False
94,a100000103,2018-01-04,House Ads,control,False,Spanish,Spanish,55+ years,2018-01-05,2018-04-03,House Ads,False
95,a100000104,2018-01-05,House Ads,control,True,English,English,0-18 years,2018-01-05,2018-02-17,House Ads,False
96,a100000104,2018-01-04,House Ads,control,False,English,English,0-18 years,2018-01-05,2018-02-17,House Ads,False
97,a100000105,2018-01-05,House Ads,control,True,English,English,19-24 years,2018-01-05,2018-04-14,House Ads,False
98,a100000105,2018-01-04,House Ads,control,False,English,English,19-24 years,2018-01-05,2018-04-14,House Ads,False
99,a100000107,2018-01-05,House Ads,control,True,English,English,24-30 years,2018-01-05,2018-01-11,House Ads,False
100,a100000107,2018-01-04,House Ads,control,False,English,English,24-30 years,2018-01-05,2018-01-11,House Ads,False
101,a100000108,2018-01-05,House Ads,control,True,English,English,30-36 years,2018-01-05,2018-02-03,House Ads,False
102,a100000108,2018-01-04,House Ads,control,False,English,English,30-36 years,2018-01-05,2018-02-03,House Ads,False
103,a100000109,2018-01-05,House Ads,control,True,Spanish,Spanish,36-45 years,2018-01-05,2018-01-08,House Ads,False
104,a100000109,2018-01-04,House Ads,control,False,Spanish,Spanish,36-45 years,2018-01-05,2018-01-08,House Ads,False
105,a100000110,2018-01-05,House Ads,control,True,Spanish,Spanish,45-55 years,2018-01-05,2018-01-27,House Ads,False
106,a100000110,2018-01-04,House Ads,control,False,Spanish,Spanish,45-55 years,2018-01-05,2018-01-27,House Ads,False
107,a100000111,2018-01-05,House Ads,control,True,English,English,55+ years,2018-01-05,,House Ads,True
108,a100000111,2018-01-04,House Ads,control,False,English,English,55+ years,2018-01-05,,House Ads,True
109,a100000112,2018-01-05,House Ads,control,True,English,English,0-18 years,2018-01-05,,House Ads,True
110,a100000112,2018-01-04,House Ads,control,False,English,English,0-18 years,2018-01-05,,House Ads,True
111,a100000113,2018-01-05,House Ads,control,True,English,English,19-24 years,2018-01-05,,House Ads,True
112,a100000114,2018-01-05,House Ads,control,True,English,English,24-30 years,2018-01-05,,House Ads,True
113,a100000127,2018-01-05,House Ads,control,True,English,English,30-36 years,2018-01-05,,House Ads,True
114,a100000128,2018-01-05,House Ads,control,True,English,English,36-45 years,2018-01-05,,House Ads,True
115,a100000129,2018-01-06,House Ads,control,True,English,English,45-55 years,2018-01-06,,House Ads,True
116,a100000130,2018-01-06,House Ads,control,True,Spanish,Spanish,55+ years,2018-01-06,,House Ads,True
117,a100000131,2018-01-06,House Ads,control,True,English,English,0-18 years,2018-01-06,,House Ads,True
118,a100000132,2018-01-06,House Ads,control,True,English,English,19-24 years,2018-01-06,,House Ads,True
119,a100000133,2018-01-06,House Ads,control,True,English,English,24-30 years,2018-01-06,,House Ads,True
120,a100000134,2018-01-06,House Ads,control,True,English,English,30-36 years,2018-01-06,,House Ads,True
121,a100000150,2018-01-06,House Ads,control,True,English,English,36-45 years,2018-01-06,,House Ads,True
122,a100000151,2018-01-06,House Ads,control,True,Arabic,Arabic,45-55 years,2018-01-06,,House Ads,True
123,a100000152,2018-01-06,House Ads,control,True,Spanish,Spanish,55+ years,2018-01-06,,House Ads,True
124,a100000153,2018-01-06,House Ads,control,True,Arabic,Arabic,0-18 years,2018-01-06,,House Ads,True
125,a100000154,2018-01-06,House Ads,control,True,English,English,19-24 years,2018-01-06,,House Ads,True
126,a100000155,2018-01-06,House Ads,control,True,English,English,24-30 years,2018-01-06,,House Ads,True
127,a100000156,2018-01-06,House Ads,control,True,English,English,30-36 years,2018-01-06,,House Ads,True
128,a100000157,2018-01-06,House Ads,control,True,English,English,36-45 years,2018-01-06,,House Ads,True
129,a100000162,2018-01-06,House Ads,control,True,English,English,45-55 years,2018-01-06,,House Ads,True
130,a100000163,2018-01-06,House Ads,control,True,Arabic,Arabic,55+ years,2018-01-06,,House Ads,True
131,a100000164,2018-01-06,House Ads,control,True,English,English,0-18 years,2018-01-06,2018-03-10,House Ads,False
132,a100000165,2018-01-07,House Ads,control,True,Arabic,Arabic,19-24 years,2018-01-07,2018-03-11,House Ads,False
133,a100000166,2018-01-07,House Ads,control,True,English,English,24-30 years,2018-01-07,2018-03-25,House Ads,False
134,a100000167,2018-01-07,House Ads,control,True,English,English,30-36 years,2018-01-07,2018-02-21,House Ads,False
135,a100000168,2018-01-07,House Ads,control,True,English,English,36-45 years,2018-01-07,2018-02-25,House Ads,False
136,a100000169,2018-01-07,House Ads,control,True,English,English,45-55 years,2018-01-07,2018-03-05,House Ads,False
137,a100000170,2018-01-07,House Ads,control,True,English,English,55+ years,2018-01-07,2018-04-16,House Ads,False
138,a100000171,2018-01-07,House Ads,control,True,English,English,0-18 years,2018-01-07,2018-02-06,House Ads,False
139,a100000172,2018-01-07,House Ads,control,True,German,German,19-24 years,2018-01-07,2018-02-05,House Ads,False
140,a100000250,2018-01-07,House Ads,control,True,English,English,24-30 years,2018-01-07,,House Ads,True
141,a100000251,2018-01-07,House Ads,control,True,English,English,30-36 years,2018-01-07,,House Ads,True
142,a100000252,2018-01-07,House Ads,control,True,German,German,36-45 years,2018-01-07,,House Ads,True
143,a100000253,2018-01-07,House Ads,control,True,Arabic,Arabic,45-55 years,2018-01-07,,House Ads,True
144,a100000254,2018-01-07,House Ads,control,True,English,English,55+ years,2018-01-07,,House Ads,True
145,a100000255,2018-01-07,House Ads,control,True,English,English,0-18 years,2018-01-07,,House Ads,True
146,a100000256,2018-01-07,House Ads,control,True,English,English,19-24 years,2018-01-07,,House Ads,True
147,a100000257,2018-01-07,House Ads,control,True,English,English,24-30 years,2018-01-07,,House Ads,True
148,a100000258,2018-01-07,House Ads,control,True,English,English,30-36 years,2018-01-07,,House Ads,True
149,a100000259,2018-01-07,House Ads,control,True,English,English,36-45 years,2018-01-07,,House Ads,True
150,a100000260,2018-01-07,House Ads,control,True,Spanish,Spanish,45-55 years,2018-01-07,2018-01-14,House Ads,False
151,a100000261,2018-01-08,House Ads,control,True,English,English,55+ years,2018-01-08,2018-03-13,House Ads,False
152,a100000262,2018-01-08,House Ads,control,True,English,English,0-18 years,2018-01-08,2018-02-22,House Ads,False
153,a100000263,2018-01-08,House Ads,control,True,English,English,19-24 years,2018-01-08,2018-01-11,House Ads,False
154,a100000264,2018-01-08,House Ads,control,True,German,German,24-30 years,2018-01-08,2018-03-19,House Ads,False
155,a100000265,2018-01-08,House Ads,control,True,German,German,30-36 years,2018-01-08,2018-02-10,House Ads,False
156,a100000266,2018-01-08,House Ads,control,True,English,English,36-45 years,2018-01-08,2018-03-30,House Ads,False
157,a100000267,2018-01-08,House Ads,control,True,English,English,45-55 years,2018-01-08,2018-01-15,House Ads,False
158,a100000268,2018-01-08,House Ads,control,True,English,English,55+ years,2018-01-08,2018-02-21,House Ads,False
159,a100000269,2018-01-08,House Ads,control,True,English,English,0-18 years,2018-01-08,,House Ads,True
160,a100000270,2018-01-08,House Ads,control,True,English,English,19-24 years,2018-01-08,,House Ads,True
161,a100000271,2018-01-08,House Ads,control,True,English,English,24-30 years,2018-01-08,,House Ads,True
162,a100000272,2018-01-08,House Ads,control,True,English,English,30-36 years,2018-01-08,,House Ads,True
163,a100000273,2018-01-08,House Ads,control,True,German,German,36-45 years,2018-01-08,,House Ads,True
164,a100000274,2018-01-08,House Ads,control,True,English,English,45-55 years,2018-01-08,,House Ads,True
165,a100000275,2018-01-08,House Ads,control,True,Spanish,Spanish,55+ years,2018-01-08,,House Ads,True
166,a100000276,2018-01-08,House Ads,control,True,Spanish,Spanish,0-18 years,2018-01-08,,House Ads,True
167,a100000277,2018-01-09,House Ads,control,True,Spanish,Spanish,19-24 years,2018-01-09,,House Ads,True
168,a100000278,2018-01-09,House Ads,control,True,English,English,24-30 years,2018-01-09,,House Ads,True
169,a100000279,2018-01-09,House Ads,control,True,English,English,30-36 years,2018-01-09,,House Ads,True
170,a100000280,2018-01-09,House Ads,control,True,English,English,36-45 years,2018-01-09,,House Ads,True
171,a100000281,2018-01-09,House Ads,control,True,English,English,45-55 years,2018-01-09,,House Ads,True
172,a100000282,2018-01-09,House Ads,control,True,English,English,55+ years,2018-01-09,,House Ads,True
173,a100000283,2018-01-09,House Ads,control,True,English,English,0-18 years,2018-01-09,,House Ads,True
174,a100000284,2018-01-09,House Ads,control,True,English,English,19-24 years,2018-01-09,,House Ads,True
175,a100000285,2018-01-09,House Ads,control,True,English,English,24-30 years,2018-01-09,,House Ads,True
176,a100000286,2018-01-09,House Ads,control,True,English,English,30-36 years,2018-01-09,,House Ads,True
177,a100000287,2018-01-09,House Ads,control,True,English,English,36-45 years,2018-01-09,,House Ads,True
178,a100000288,2018-01-09,House Ads,control,True,English,English,45-55 years,2018-01-09,,House Ads,True
179,a100000289,2018-01-09,House Ads,control,True,English,English,55+ years,2018-01-09,,House Ads,True
180,a100000290,2018-01-09,House Ads,control,True,English,English,0-18 years,2018-01-09,,House Ads,True
181,a100000291,2018-01-09,House Ads,control,True,English,English,19-24 years,2018-01-09,,House Ads,True
182,a100000292,2018-01-09,House Ads,control,True,English,English,24-30 years,2018-01-09,,House Ads,True
183,a100000293,2018-01-09,House Ads,control,True,English,English,30-36 years,2018-01-09,,House Ads,True
184,a100000294,2018-01-09,House Ads,control,True,English,English,36-45 years,2018-01-09,2018-01-14,House Ads,False
185,a100000295,2018-01-09,House Ads,control,True,English,English,45-55 years,2018-01-09,2018-02-04,House Ads,False
186,a100000296,2018-01-09,House Ads,control,True,English,English,55+ years,2018-01-09,2018-02-04,House Ads,False
187,a100000297,2018-01-10,House Ads,control,True,German,German,0-18 years,2018-01-10,2018-02-09,House Ads,False
188,a100000298,2018-01-10,House Ads,control,True,German,German,19-24 years,2018-01-10,2018-01-21,House Ads,False
189,a100000299,2018-01-10,House Ads,control,True,English,English,24-30 years,2018-01-10,2018-03-07,House Ads,False
190,a100000300,2018-01-10,House Ads,control,True,English,English,30-36 years,2018-01-10,2018-04-10,House Ads,False
191,a100000301,2018-01-10,House Ads,control,True,Spanish,Spanish,36-45 years,2018-01-10,2018-04-16,House Ads,False
192,a100000302,2018-01-10,House Ads,control,True,English,English,45-55 years,2018-01-10,2018-03-26,House Ads,False
193,a100000303,2018-01-10,House Ads,control,True,English,English,55+ years,2018-01-10,,House Ads,True
194,a100000304,2018-01-10,House Ads,control,True,English,English,0-18 years,2018-01-10,,House Ads,True
195,a100000305,2018-01-10,House Ads,control,True,English,English,19-24 years,2018-01-10,,House Ads,True
196,a100000306,2018-01-10,House Ads,control,True,English,English,24-30 years,2018-01-10,,House Ads,True
197,a100000307,2018-01-10,House Ads,control,True,Spanish,Spanish,30-36 years,2018-01-10,,House Ads,True
198,a100000308,2018-01-10,House Ads,control,True,English,English,36-45 years,2018-01-10,,House Ads,True
199,a100000309,2018-01-10,House Ads,control,True,English,English,45-55 years,2018-01-10,,House Ads,True
200,a100000310,2018-01-10,House Ads,control,True,English,English,55+ years,2018-01-10,,House Ads,True
201,a100000311,2018-01-10,House Ads,control,True,English,English,0-18 years,2018-01-10,,House Ads,True
202,a100000312,2018-01-10,House Ads,control,True,English,English,19-24 years,2018-01-10,,House Ads,True
203,a100000313,2018-01-10,House Ads,control,True,English,English,24-30 years,2018-01-10,,House Ads,True
204,a100000314,2018-01-10,House Ads,control,True,Spanish,Spanish,30-36 years,2018-01-10,,House Ads,True
205,a100000315,2018-01-10,House Ads,personalization,True,English,English,36-45 years,2018-01-10,,House Ads,True
206,a100000316,2018-01-10,House Ads,personalization,True,English,English,45-55 years,2018-01-10,,House Ads,True
207,a100000317,2018-01-10,House Ads,personalization,True,Spanish,Spanish,55+ years,2018-01-10,2018-04-19,House Ads,False
208,a100000318,2018-01-11,House Ads,personalization,True,English,English,0-18 years,2018-01-11,2018-03-04,House Ads,False
209,a100000319,2018-01-12,House Ads,personalization,True,English,Spanish,19-24 years,2018-01-12,2018-01-26,House Ads,False
210,a100000320,2018-01-13,House Ads,personalization,True,English,English,24-30 years,2018-01-13,2018-04-05,House Ads,False
211,a100000321,2018-01-14,House Ads,personalization,True,English,English,30-36 years,2018-01-14,2018-01-26,House Ads,False
212,a100000322,2018-01-15,House Ads,personalization,True,English,English,36-45 years,2018-01-15,2018-03-15,House Ads,False
213,a100000323,2018-01-16,House Ads,personalization,True,English,English,45-55 years,2018-01-16,2018-04-22,House Ads,False
214,a100000324,2018-01-17,House Ads,personalization,True,English,English,55+ years,2018-01-17,2018-02-11,House Ads,False
215,a100000325,2018-01-18,House Ads,personalization,True,English,English,0-18 years,2018-01-18,2018-01-23,House Ads,False
216,a100000326,2018-01-19,House Ads,personalization,True,English,English,19-24 years,2018-01-19,,House Ads,True
217,a100000327,2018-01-20,House Ads,personalization,True,English,English,24-30 years,2018-01-20,,House Ads,True
218,a100000328,2018-01-21,House Ads,personalization,True,English,English,0-18 years,2018-01-21,,House Ads,True
219,a100000328,2018-01-10,House Ads,personalization,False,English,English,0-18 years,2018-01-21,,House Ads,True
220,a100000329,2018-01-22,House Ads,personalization,True,English,English,19-24 years,2018-01-22,,House Ads,True
221,a100000329,2018-01-10,House Ads,personalization,False,English,English,19-24 years,2018-01-22,,House Ads,True
222,a100000330,2018-01-23,House Ads,personalization,True,English,English,24-30 years,2018-01-23,,House Ads,True
223,a100000330,2018-01-10,Push,personalization,False,English,English,24-30 years,2018-01-23,,House Ads,True
224,a100000331,2018-01-24,House Ads,personalization,True,English,English,0-18 years,2018-01-24,,House Ads,True
225,a100000331,2018-01-10,House Ads,personalization,False,English,English,0-18 years,2018-01-24,,House Ads,True
226,a100000332,2018-01-25,House Ads,personalization,True,English,English,19-24 years,2018-01-25,,House Ads,True
227,a100000332,2018-01-10,House Ads,personalization,False,English,English,19-24 years,2018-01-25,,House Ads,True
228,a100000333,2018-01-26,House Ads,personalization,True,English,English,24-30 years,2018-01-26,,House Ads,True
229,a100000333,2018-01-10,House Ads,personalization,False,English,English,24-30 years,2018-01-26,,House Ads,True
230,a100000334,2018-01-27,House Ads,personalization,True,English,English,0-18 years,2018-01-27,,House Ads,True
231,a100000334,2018-01-10,Push,personalization,False,English,English,0-18 years,2018-01-27,,House Ads,True
232,a100000335,2018-01-28,House Ads,personalization,True,English,Spanish,19-24 years,2018-01-28,,House Ads,True
233,a100000335,2018-01-10,Facebook,personalization,False,Spanish,Spanish,19-24 years,2018-01-28,,House Ads,True
234,a100000336,2018-01-29,House Ads,personalization,True,English,English,24-30 years,2018-01-29,,House Ads,True
235,a100000336,2018-01-10,Instagram,personalization,False,English,English,24-30 years,2018-01-29,,House Ads,True
236,a100000337,2018-01-30,House Ads,personalization,True,English,English,0-18 years,2018-01-30,2018-02-09,House Ads,False
237,a100000337,2018-01-10,Instagram,personalization,False,English,English,0-18 years,2018-01-30,2018-02-09,House Ads,False
238,a100000338,2018-01-31,House Ads,personalization,True,English,English,19-24 years,2018-01-31,2018-04-29,House Ads,False
239,a100000338,2018-01-10,Facebook,personalization,False,English,English,19-24 years,2018-01-31,2018-04-29,House Ads,False
240,a100000339,2018-01-11,House Ads,personalization,True,English,English,24-30 years,2018-01-11,2018-03-10,House Ads,False
241,a100000339,2018-01-10,House Ads,personalization,False,English,English,24-30 years,2018-01-11,2018-03-10,House Ads,False
242,a100000340,2018-01-12,House Ads,personalization,True,English,English,0-18 years,2018-01-12,2018-03-08,House Ads,False
243,a100000340,2018-01-10,House Ads,personalization,False,English,English,0-18 years,2018-01-12,2018-03-08,House Ads,False
244,a100000341,2018-01-13,House Ads,personalization,True,English,English,19-24 years,2018-01-13,2018-04-17,House Ads,False
245,a100000341,2018-01-10,House Ads,personalization,False,English,English,19-24 years,2018-01-13,2018-04-17,House Ads,False
246,a100000342,2018-01-14,House Ads,personalization,True,English,English,24-30 years,2018-01-14,2018-03-01,House Ads,False
247,a100000342,2018-01-10,House Ads,personalization,False,English,English,24-30 years,2018-01-14,2018-03-01,House Ads,False
248,a100000343,2018-01-15,House Ads,personalization,True,English,English,30-36 years,2018-01-15,2018-03-09,House Ads,False
249,a100000343,2018-01-10,Push,personalization,False,English,English,30-36 years,2018-01-15,2018-03-09,House Ads,False
250,a100000344,2018-01-16,House Ads,personalization,True,English,English,36-45 years,2018-01-16,2018-03-07,House Ads,False
251,a100000344,2018-01-10,House Ads,personalization,False,English,English,36-45 years,2018-01-16,2018-03-07,House Ads,False
252,a100000345,2018-01-17,House Ads,personalization,True,English,Spanish,45-55 years,2018-01-17,2018-02-08,House Ads,False
253,a100000345,2018-01-10,House Ads,personalization,False,Spanish,Spanish,45-55 years,2018-01-17,2018-02-08,House Ads,False
254,a100000346,2018-01-18,House Ads,personalization,True,English,English,55+ years,2018-01-18,,House Ads,True
255,a100000346,2018-01-10,House Ads,personalization,False,English,English,55+ years,2018-01-18,,House Ads,True
256,a100000347,2018-01-19,House Ads,personalization,True,English,English,0-18 years,2018-01-19,,House Ads,True
257,a100000347,2018-01-10,Push,personalization,False,English,English,0-18 years,2018-01-19,,House Ads,True
258,a100000348,2018-01-20,House Ads,personalization,True,English,German,19-24 years,2018-01-20,,House Ads,True
259,a100000348,2018-01-10,Facebook,personalization,False,German,German,19-24 years,2018-01-20,,House Ads,True
260,a100000349,2018-01-21,House Ads,personalization,True,English,English,24-30 years,2018-01-21,2018-03-04,House Ads,False
261,a100000349,2018-01-10,Instagram,personalization,False,English,English,24-30 years,2018-01-21,2018-03-04,House Ads,False
262,a100000350,2018-01-22,House Ads,personalization,True,English,English,0-18 years,2018-01-22,2018-02-22,House Ads,False
263,a100000350,2018-01-10,Instagram,personalization,False,English,English,0-18 years,2018-01-22,2018-02-22,House Ads,False
264,a100000351,2018-01-23,House Ads,personalization,True,English,English,19-24 years,2018-01-23,2018-04-22,House Ads,False
265,a100000351,2018-01-10,House Ads,personalization,False,English,English,19-24 years,2018-01-23,2018-04-22,House Ads,False
